Time	Y	YDOT	YDOUBLEDOT	NC	LOS	LOSdot
5.72247,	1088.38,	-281.612,	-61.5538,	61.5538,	0.0830129,	0.00384711
5.72267,	1088.32,	-281.625,	-61.5462,	61.5462,	0.0830137,	0.00384664
5.72287,	1088.27,	-281.637,	-61.5387,	61.5387,	0.0830145,	0.00384617
5.72307,	1088.21,	-281.649,	-61.5312,	61.5312,	0.0830152,	0.0038457
5.72327,	1088.15,	-281.662,	-61.5237,	61.5237,	0.083016,	0.00384523
5.72347,	1088.1,	-281.674,	-61.5162,	61.5162,	0.0830168,	0.00384476
5.72367,	1088.04,	-281.686,	-61.5087,	61.5087,	0.0830175,	0.00384429
5.72387,	1087.99,	-281.699,	-61.5011,	61.5011,	0.0830183,	0.00384382
5.72407,	1087.93,	-281.711,	-61.4935,	61.4935,	0.0830191,	0.00384335
5.72427,	1087.87,	-281.723,	-61.486,	61.486,	0.0830198,	0.00384287
5.72447,	1087.82,	-281.735,	-61.4784,	61.4784,	0.0830206,	0.0038424
5.72467,	1087.76,	-281.748,	-61.4709,	61.4709,	0.0830213,	0.00384193
5.72487,	1087.7,	-281.76,	-61.4633,	61.4633,	0.0830221,	0.00384146
5.72507,	1087.65,	-281.772,	-61.4558,	61.4558,	0.0830229,	0.00384098
5.72527,	1087.59,	-281.785,	-61.4482,	61.4482,	0.0830236,	0.00384051
5.72547,	1087.53,	-281.797,	-61.4406,	61.4406,	0.0830244,	0.00384004
5.72567,	1087.48,	-281.809,	-61.4331,	61.4331,	0.0830251,	0.00383957
5.72587,	1087.42,	-281.822,	-61.4255,	61.4255,	0.0830259,	0.00383909
5.72607,	1087.36,	-281.834,	-61.4179,	61.4179,	0.0830267,	0.00383862
5.72627,	1087.31,	-281.846,	-61.4104,	61.4104,	0.0830274,	0.00383815
5.72647,	1087.25,	-281.858,	-61.4029,	61.4029,	0.0830282,	0.00383768
5.72667,	1087.2,	-281.871,	-61.3953,	61.3953,	0.0830289,	0.00383721
5.72686,	1087.14,	-281.883,	-61.3878,	61.3878,	0.0830297,	0.00383674
5.72706,	1087.08,	-281.895,	-61.3803,	61.3803,	0.0830305,	0.00383627
5.72726,	1087.03,	-281.907,	-61.3727,	61.3727,	0.0830312,	0.0038358
5.72746,	1086.97,	-281.92,	-61.3652,	61.3652,	0.083032,	0.00383533
5.72766,	1086.91,	-281.932,	-61.3577,	61.3577,	0.0830327,	0.00383486
5.72786,	1086.86,	-281.944,	-61.3502,	61.3502,	0.0830335,	0.00383439
5.72806,	1086.8,	-281.957,	-61.3426,	61.3426,	0.0830343,	0.00383392
5.72826,	1086.74,	-281.969,	-61.3351,	61.3351,	0.083035,	0.00383344
5.72846,	1086.69,	-281.981,	-61.3276,	61.3276,	0.0830358,	0.00383297
5.72866,	1086.63,	-281.993,	-61.32,	61.32,	0.0830365,	0.0038325
5.72886,	1086.58,	-282.006,	-61.3125,	61.3125,	0.0830373,	0.00383203
5.72906,	1086.52,	-282.018,	-61.305,	61.305,	0.0830381,	0.00383156
5.72926,	1086.46,	-282.03,	-61.2975,	61.2975,	0.0830388,	0.00383109
5.72946,	1086.41,	-282.042,	-61.2899,	61.2899,	0.0830396,	0.00383062
5.72966,	1086.35,	-282.055,	-61.2824,	61.2824,	0.0830404,	0.00383015
5.72986,	1086.29,	-282.067,	-61.2748,	61.2748,	0.0830411,	0.00382968
5.73006,	1086.24,	-282.079,	-61.2673,	61.2673,	0.0830419,	0.00382921
5.73026,	1086.18,	-282.091,	-61.2598,	61.2598,	0.0830426,	0.00382874
5.73046,	1086.12,	-282.104,	-61.2523,	61.2523,	0.0830434,	0.00382827
5.73066,	1086.07,	-282.116,	-61.2448,	61.2448,	0.0830442,	0.0038278
5.73086,	1086.01,	-282.128,	-61.2373,	61.2373,	0.0830449,	0.00382733
5.73106,	1085.96,	-282.14,	-61.2298,	61.2298,	0.0830457,	0.00382686
5.73126,	1085.9,	-282.153,	-61.2223,	61.2223,	0.0830465,	0.00382639
5.73146,	1085.84,	-282.165,	-61.2148,	61.2148,	0.0830472,	0.00382592
5.73166,	1085.79,	-282.177,	-61.2073,	61.2073,	0.083048,	0.00382546
5.73186,	1085.73,	-282.189,	-61.1998,	61.1998,	0.0830487,	0.00382499
5.73206,	1085.67,	-282.202,	-61.1923,	61.1923,	0.0830495,	0.00382452
5.73226,	1085.62,	-282.214,	-61.1848,	61.1848,	0.0830503,	0.00382405
5.73246,	1085.56,	-282.226,	-61.1773,	61.1773,	0.083051,	0.00382358
5.73266,	1085.5,	-282.238,	-61.1698,	61.1698,	0.0830518,	0.00382311
5.73286,	1085.45,	-282.251,	-61.1623,	61.1623,	0.0830526,	0.00382264
5.73306,	1085.39,	-282.263,	-61.1548,	61.1548,	0.0830533,	0.00382217
5.73326,	1085.33,	-282.275,	-61.1473,	61.1473,	0.0830541,	0.0038217
