Time	MissNT3	MissNT4	MissNT5	MissVM3	MissVM4	MissVM5
0.0478099,	0.105249,	0.103572,	0.101915,	46.5881,	45.4654,	44.361
0.0480099,	0.106111,	0.104413,	0.102735,	46.7689,	45.637,	44.5237
0.0482099,	0.106975,	0.105256,	0.103558,	46.9495,	45.8085,	44.6863
0.0484099,	0.107843,	0.106103,	0.104384,	47.13,	45.9798,	44.8487
0.0486099,	0.108714,	0.106953,	0.105213,	47.3104,	46.151,	45.0109
0.0488099,	0.109589,	0.107806,	0.106044,	47.4907,	46.322,	45.1729
0.0490099,	0.110467,	0.108662,	0.106879,	47.6709,	46.4929,	45.3348
0.0492099,	0.111348,	0.109521,	0.107717,	47.8509,	46.6637,	45.4964
0.0494099,	0.112232,	0.110384,	0.108558,	48.0309,	46.8342,	45.6579
0.0496099,	0.11312,	0.111249,	0.109402,	48.2107,	47.0047,	45.8192
0.0498099,	0.114011,	0.112118,	0.110249,	48.3904,	47.175,	45.9803
0.0500099,	0.114905,	0.11299,	0.111098,	48.57,	47.3451,	46.1413
0.0502099,	0.115803,	0.113865,	0.111951,	48.7495,	47.5151,	46.3021
0.0504099,	0.116704,	0.114743,	0.112807,	48.9289,	47.685,	46.4626
0.0506099,	0.117609,	0.115625,	0.113666,	49.1081,	47.8547,	46.6231
0.0508099,	0.118516,	0.116509,	0.114527,	49.2873,	48.0243,	46.7833
0.0510099,	0.119427,	0.117397,	0.115392,	49.4663,	48.1937,	46.9433
0.0512099,	0.120341,	0.118287,	0.116259,	49.6452,	48.3629,	47.1032
0.0514099,	0.121259,	0.119181,	0.11713,	49.8241,	48.5321,	47.2629
0.0516099,	0.12218,	0.120078,	0.118003,	50.0028,	48.701,	47.4224
0.0518099,	0.123104,	0.120978,	0.11888,	50.1813,	48.8699,	47.5817
0.0520099,	0.124032,	0.121881,	0.119759,	50.3598,	49.0385,	47.7409
0.0522099,	0.124962,	0.122787,	0.120641,	50.5382,	49.2071,	47.8999
0.0524099,	0.125896,	0.123697,	0.121526,	50.7164,	49.3755,	48.0587
0.0526099,	0.126834,	0.124609,	0.122414,	50.8945,	49.5437,	48.2173
0.0528099,	0.127774,	0.125525,	0.123305,	51.0725,	49.7118,	48.3757
0.0530099,	0.128718,	0.126444,	0.124199,	51.2504,	49.8797,	48.534
0.0532099,	0.129665,	0.127365,	0.125096,	51.4282,	50.0475,	48.6921
0.0534099,	0.130616,	0.12829,	0.125996,	51.6059,	50.2152,	48.85
0.0536099,	0.131569,	0.129218,	0.126899,	51.7835,	50.3827,	49.0077
0.0538099,	0.132526,	0.130149,	0.127804,	51.9609,	50.55,	49.1653
0.0540099,	0.133487,	0.131084,	0.128713,	52.1383,	50.7173,	49.3226
0.0542099,	0.13445,	0.132021,	0.129624,	52.3155,	50.8843,	49.4798
0.0544099,	0.135417,	0.132961,	0.130538,	52.4926,	51.0512,	49.6369
0.0546099,	0.136387,	0.133904,	0.131456,	52.6696,	51.218,	49.7937
0.0548099,	0.13736,	0.134851,	0.132376,	52.8465,	51.3846,	49.9504
0.0550099,	0.138337,	0.1358,	0.133299,	53.0233,	51.5511,	50.1068
0.0552099,	0.139317,	0.136753,	0.134225,	53.1999,	51.7175,	50.2632
0.0554099,	0.1403,	0.137709,	0.135153,	53.3765,	51.8836,	50.4193
0.0556099,	0.141286,	0.138668,	0.136085,	53.5529,	52.0497,	50.5752
0.0558099,	0.142276,	0.139629,	0.137019,	53.7293,	52.2156,	50.731
0.0560099,	0.143269,	0.140594,	0.137957,	53.9055,	52.3813,	50.8866
0.0562099,	0.144265,	0.141562,	0.138897,	54.0816,	52.547,	51.0421
0.0564099,	0.145265,	0.142533,	0.13984,	54.2576,	52.7124,	51.1973
0.0566099,	0.146267,	0.143507,	0.140786,	54.4334,	52.8777,	51.3524
0.0568099,	0.147273,	0.144484,	0.141735,	54.6092,	53.0429,	51.5073
0.0570099,	0.148282,	0.145464,	0.142687,	54.7849,	53.2079,	51.662
0.0572099,	0.149295,	0.146447,	0.143641,	54.9604,	53.3728,	51.8166
0.0574099,	0.15031,	0.147434,	0.144599,	55.1358,	53.5376,	51.9709
0.0576099,	0.151329,	0.148423,	0.145559,	55.3111,	53.7022,	52.1251
0.0578099,	0.152351,	0.149415,	0.146522,	55.4864,	53.8666,	52.2792
0.0580099,	0.153376,	0.150411,	0.147488,	55.6614,	54.0309,	52.433
0.0582099,	0.154405,	0.151409,	0.148456,	55.8364,	54.1951,	52.5867
